"交易 #","类型","日期/时间","信号","价格 USDT","仓位大小（数量）","仓位大小（价值）","净损益 USDT","净损益 %","最大交易获利 USDT","最大交易获利 %","交易亏损 USDT","交易亏损 %","累计P&L USDT","累计P&L %"
1,"多头出场",45052.1458333333,"止盈/止损",3.38e-06,32548878.243,99.92505620601,9.93,9.93,10.02,10.02,-2.35,-2.35,9.93,9.93
1,"多头进场",45052.1145833333,"做多",3.07e-06,32548878.243,99.92505620601,9.93,9.93,10.02,10.02,-2.35,-2.35,9.93,9.93
2,"多头出场",45156.25,"止盈/止损",1.05e-06,115631904.597,109.85030936715,11.39,10.36,13.79,12.55,-1.24,-1.13,21.32,21.32
2,"多头进场",45156.2291666667,"做多",9.5e-07,115631904.597,109.85030936715,11.39,10.36,13.79,12.55,-1.24,-1.13,21.32,21.32
3,"多头出场",45241.3333333333,"止盈/止损",1.38e-06,96985212.85,121.2315160625,12.42,10.23,12.52,10.32,-8.82,-7.27,33.74,33.74
3,"多头进场",45240,"做多",1.25e-06,96985212.85,121.2315160625,12.42,10.23,12.52,10.32,-8.82,-7.27,33.74,33.74
4,"多头出场",45295.0104166667,"止盈/止损",1.27e-06,116207812.836,133.6389847614,13.73,10.27,13.84,10.35,-0.1,-0.07,47.47,47.47
4,"多头进场",45294.8333333333,"做多",1.15e-06,116207812.836,133.6389847614,13.73,10.27,13.84,10.35,-0.1,-0.07,47.47,47.47
5,"多头出场",45357.2083333333,"止盈/止损",6.08e-06,26696143.544,147.36271236288,14.72,9.98,14.84,10.06,-0.11,-0.07,62.19,62.19
5,"多头进场",45357.15625,"做多",5.52e-06,26696143.544,147.36271236288,14.72,9.98,14.84,10.06,-0.11,-0.07,62.19,62.19
6,"多头出场",45395.1458333333,"止盈/止损",5.98e-06,29847010.377,162.06926634711,16.16,9.96,16.29,10.05,-6.09,-3.76,78.35,78.35
6,"多头进场",45395.1041666667,"做多",5.43e-06,29847010.377,162.06926634711,16.16,9.96,16.29,10.05,-6.09,-3.76,78.35,78.35
7,"多头出场",45396.2395833333,"止盈/止损",4.81e-06,40782058.353,178.21759500261,17.66,9.9,17.81,9.99,-10.33,-5.79,96.01,96.01
7,"多头进场",45396.1666666667,"做多",4.37e-06,40782058.353,178.21759500261,17.66,9.9,17.81,9.99,-10.33,-5.79,96.01,96.01
8,"多头出场",45941.2291666667,"止盈/止损",6.35e-06,39569228.008,195.8676786396,55.06,28.09,71.08,36.26,-3.71,-1.89,151.08,151.08
8,"多头进场",45941.21875,"做多",4.95e-06,39569228.008,195.8676786396,55.06,28.09,71.08,36.26,-3.71,-1.89,151.08,151.08
9,"多头出场",45943.09375,"止盈/止损",7.53e-06,36679529.738,250.88798340792,24.91,9.92,25.12,10.01,-35.03,-13.95,175.99,175.99
9,"多头进场",45941.2395833333,"做多",6.84e-06,36679529.738,250.88798340792,24.91,9.92,25.12,10.01,-35.03,-13.95,175.99,175.99
