"lookback","minDrop","TP","SL","score","return_pct","win_rate","max_dd","trades"
8,7.1,1.4,12.4,0.851252798444709,2900.06358421261,89.9563318777293,-44.5605664572951,458
7,6.2,1.5,12.5,0.844548616275697,3207.6077157506,89.3577981651376,-46.4960269906697,545
8,6.7,1.2,13.2,0.837407506416447,3961.57836394328,91.5572232645403,-49.9761094934546,533
10,7.3,1.3,11,0.83377691583061,3386.1159623797,89.5327102803738,-50.1740498633169,535
10,6.9,1.4,12,0.833318038201118,3158.13929293205,89.5306859205776,-50.3259968932493,554
9,6.7,1.3,12.2,0.821571290666401,2738.13563608424,90.2482269503546,-54.6003499197101,564
9,7.3,1.1,11.8,0.818362251136472,2792.29547927665,90.6560636182903,-55.873948096988,503
8,6.3,1.2,14.2,0.814299990411099,2741.96681180049,91.6666666666667,-57.7333365296336,588
10,7,1.3,11.1,0.811591067932101,3243.89805054658,89.1843971631206,-57.3951759375267,564
6,6.4,1.2,13.8,0.80843830893517,2664.79393093131,91.8067226890756,-59.7572583661479,476
7,5.9,1.1,13.3,0.808380712675912,2878.42659282584,91.2559618441971,-59.5010766967945,629
10,6.3,1.2,13.1,0.805360103309823,4515.1448774114,91.4893617021277,-60.624646414456,658
10,6.1,1.4,13.6,0.80517174200964,4691.41826845951,90.7153729071537,-60.3004391170303,657
9,6.9,1.1,13.7,0.803281991243089,3087.85521787727,92.1348314606742,-61.640085315974,534
10,6.3,2.2,11.7,0.801594957583855,8138.23346882595,86.7992766726944,-59.5346524750622,553
10,6.4,1.1,12.2,0.800978023227295,5251.89159921987,91.5304606240713,-62.1058892362706,673
10,6.4,1.3,14.4,0.799636030620312,2601.71547398089,91.404958677686,-62.4904691320724,605
10,7,0.1,11.2,0.798708838684048,2357.48528799461,94.2307692307692,-55.661555667045,780
10,6.2,1.2,11,0.7932376135176,4125.54191351138,89.6503496503497,-63.7459703193083,715
5,6.6,3.3,20,0.791963916365627,2442.09275762547,89.2857142857143,-53.6379635891556,252
