dataset,lookback,minDrop,TP,SL,score,return_pct,win_rate,max_dd,trades
BNBUSDT_15m,7,8.8,0.0,13.7,0.8951,5847.46,94.9,-34.1,451
BNBUSDT_1h,3,7.8,1.6,13.6,0.857,7150.89,88.6,-45.8,428
BNBUSDT_30m,1,5.7,0.2,19.6,0.8734,3049.37,95.5,-41.4,403
BNBUSDT_5m,9,7.0,0.2,13.5,0.8899,10703.8,95.9,-36.0,637
BOMEUSDT_15m,4,5.5,2.6,0.8,0.4868,169.33,40.4,-52.4,515
BOMEUSDT_1h,10,11.1,0.5,0.5,0.4948,18.42,53.0,-43.4,389
BOMEUSDT_30m,4,6.3,1.1,4.7,0.4686,36.89,73.3,-57.8,416
BOMEUSDT_5m,4,5.0,0.0,6.0,0.4592,74.12,87.4,-65.0,422
BTCUSDT_15m,9,5.6,6.1,6.8,0.7934,2330.66,61.2,-52.1,381
BTCUSDT_1h,2,0.8,3.1,17.3,0.7474,3079.76,86.7,-82.0,565
BTCUSDT_30m,3,4.4,0.0,15.1,0.8859,2405.54,97.4,-33.2,762
BTCUSDT_5m,6,4.0,1.2,19.1,0.8625,2992.53,96.4,-45.2,450
DOGEUSDT_15m,10,9.5,0.3,18.3,0.8291,2535.91,92.7,-55.7,600
DOGEUSDT_1h,7,9.8,4.4,9.8,0.8245,2652.24,70.4,-53.6,422
DOGEUSDT_30m,8,10.9,0.0,1.6,0.8376,5393.09,67.6,-48.7,729
DOGEUSDT_5m,6,8.8,0.2,16.6,0.8345,4405.93,93.4,-54.1,515
ETHUSDT_15m,9,8.5,0.0,18.4,0.8934,2573.48,97.2,-35.1,433
ETHUSDT_1h,2,8.6,6.0,12.7,0.7512,2804.76,77.4,-43.2,164
ETHUSDT_30m,4,7.3,0.2,7.4,0.9078,2461.47,90.2,-27.3,502
ETHUSDT_5m,1,3.6,2.6,10.5,0.8435,3176.06,84.9,-49.6,416
PEPEUSDT_15m,10,7.2,1.4,12.3,0.8536,3135.91,90.3,-47.2,514
PEPEUSDT_1h,4,7.4,5.5,6.2,0.8178,2626.13,57.4,-53.5,399
PEPEUSDT_30m,3,7.6,0.0,9.1,0.8224,2214.41,75.9,-38.9,377
PEPEUSDT_5m,5,4.4,0.3,12.3,0.8302,4884.53,95.5,-55.9,914
SOLUSDT_15m,3,6.2,2.5,10.2,0.8537,6289.23,83.2,-46.0,463
SOLUSDT_1h,10,10.7,0.9,16.7,0.8155,3246.42,92.1,-60.2,418
SOLUSDT_30m,1,5.3,2.3,9.2,0.8276,2957.47,79.8,-54.1,564
SOLUSDT_5m,10,8.6,0.0,13.5,0.8936,2584.29,96.0,-28.2,349
