"window_id","train_months","test_month","lookback","minDrop","TP","SL","train_return_pct","train_win_rate","train_max_dd","train_trades","test_return_pct","test_win_rate","test_max_dd","test_trades","opt_time_secs"
1,"2023-05|2023-06|2023-07","2023-08",3,3.85,0,4.95,21.1772998545633,52.9715762273902,-31.0286222248509,387,7.68684397348083,52.7777777777778,-11.9371584896171,36,25.3670029640198
2,"2023-06|2023-07|2023-08","2023-09",7,1,0,5.25,594.550560866675,31.0579404175463,-29.7526226030698,4263,13408.0636949079,25.9378781766841,-11.5661459794859,2479,19.2018699645996
3,"2023-07|2023-08|2023-09","2023-10",10,0,0,3.15,25748.5858054268,27.2918418839361,-38.1374245091574,7134,4512.30939299694,26.7017543859649,-29.6384027181313,2850,16.8609828948975
4,"2023-08|2023-09|2023-10","2023-11",2,1.4,0,1.8,186002.555990856,27.3753952717964,-26.0191755864532,6641,30.6085611519387,30.1223241590214,-39.9171390249427,1962,20.5091090202332
5,"2023-09|2023-10|2023-11","2023-12",7,2.15,0,10.25,2932.44383837756,31.4814814814815,-19.1756114747055,1836,9.57633737375851,36.8983957219251,-31.4305112301245,374,21.9118158817291
6,"2023-10|2023-11|2023-12","2024-01",9,1.05,0,12,2564.70134370849,29.9570508231926,-23.3188032862944,2794,-14.4784064106379,27.961432506887,-32.732964664144,726,20.8563280105591
7,"2023-11|2023-12|2024-01","2024-02",7,0.8,0,5.45,486.190929886262,29.4647995396125,-31.5801128808488,5213,145.625463995367,28.7822878228782,-29.3407282442766,1897,18.7942459583282
8,"2023-12|2024-01|2024-02","2024-03",6,2.05,0.1,5,402.111629986588,90.0114810562572,-29.337644230662,871,-38.539419445099,88.2506527415144,-71.4767835220857,766,21.2027380466461
9,"2024-01|2024-02|2024-03","2024-04",6,4.25,4.7,3.05,957.262517237532,52.7196652719665,-30.6363861663322,239,-19.5581654710739,40.625,-33.6748153879069,32,32.1438620090485
10,"2024-02|2024-03|2024-04","2024-05",5,3.25,2.55,6.55,646.088882526972,76.0517799352751,-35.3475217712521,309,64.7401679699613,82.2222222222222,-16.9763262630246,45,23.4706969261169
11,"2024-03|2024-04|2024-05","2024-06",9,3.7,0.5,13.9,312.342296703132,95.8904109589041,-39.8865353087419,365,-15.099763338468,93.1818181818182,-22.1011429534526,44,20.7258069515228
12,"2024-04|2024-05|2024-06","2024-07",7,2.75,0.7,2,38.8729924883911,76.1078998073218,-35.0880204691464,519,-4.94299026189772,74.4,-23.2453093274372,125,19.6563279628754
13,"2024-05|2024-06|2024-07","2024-08",10,3.25,0,9.35,51.3184454738931,85.15625,-23.1100890845491,384,-41.2848751612022,78.4313725490196,-46.4453870340871,102,18.6722331047058
14,"2024-06|2024-07|2024-08","2024-09",2,2.25,0,0,-12.6607163422021,53.9130434782609,-25.0850756962456,345,-5.86246124096464,46.4285714285714,-6.53069108390753,28,16.6704699993134
15,"2024-07|2024-08|2024-09","2024-10",2,2.15,0,0,-18.9340003558657,51.4619883040936,-23.9437430349631,342,-7.16693049181975,50,-9.15226461106733,76,21.7483830451965
16,"2024-08|2024-09|2024-10","2024-11",2,2.2,0.15,0.15,-12.9160234588049,50.5882352941176,-19.8892935217897,255,-40.7077259737787,49.2354740061162,-43.0857670623272,327,18.4083449840546
17,"2024-09|2024-10|2024-11","2024-12",2,1.2,1.25,3.5,64.7840625578112,74.26597582038,-29.3033787364187,579,-49.6978953848663,67.5,-59.0972609832538,240,23.1000230312347
18,"2024-10|2024-11|2024-12","2025-01",10,2.85,0,15.05,16.438154503945,86.3945578231292,-37.2574305552528,441,-42.4620365336583,79.2207792207792,-46.4679300991782,77,19.9157288074493
19,"2024-11|2024-12|2025-01","2025-02",10,3.5,0,11.85,13.4335742984542,86.9300911854103,-33.0880774824008,329,-5.81862267442861,82.2784810126582,-26.8815822432409,79,15.4094040393829
20,"2024-12|2025-01|2025-02","2025-03",8,3.5,0.1,1.45,-35.5589544277192,76.5536723163842,-40.5933550385769,354,-13.8769027753714,73.5294117647059,-18.6942019122205,68,11.1244630813599
21,"2025-01|2025-02|2025-03","2025-04",10,3.5,0,2.35,-33.3050233926261,73.9549839228296,-39.8716070606667,311,-12.6329129720746,63.4920634920635,-18.5872669071668,63,11.465099811554
22,"2025-02|2025-03|2025-04","2025-05",10,3.2,3.75,0,-35.1442272277861,12.2302158273381,-42.2304246743352,417,-18.6739046113317,12.0879120879121,-26.3767649015857,182,12.4223029613495
23,"2025-03|2025-04|2025-05","2025-06",7,1.6,0.65,6.6,3.73614236585418,89.8901098901099,-40.8128609961577,455,-31.5209920402297,87,-39.8417692964108,100,14.1985239982605
24,"2025-04|2025-05|2025-06","2025-07",1,1.65,0,3.1,-7.45114096107456,78.1021897810219,-21.8491633316671,274,5.39083098851621,86.3636363636364,-4.07841921247719,44,11.9718699455261
25,"2025-05|2025-06|2025-07","2025-08",2,1.7,0.05,1.2,-20.9140007306877,81.5573770491803,-40.7133005824401,488,-2.48263404970872,84.3137254901961,-7.30774015988361,51,13.2492079734802
26,"2025-06|2025-07|2025-08","2025-09",1,1.25,0.55,5.65,62.4750851875885,92.9515418502203,-21.50699737829,227,-3.31625211534645,88.5714285714286,-17.4946900583946,35,11.9857170581818
27,"2025-07|2025-08|2025-09","2025-10",10,2.9,0.3,0.55,13.1056797000487,72.6086956521739,-6.92416570807924,230,71.6887299156803,62.7659574468085,-55.8620689655172,94,12.2999219894409
