window_id,train_months,test_months,lookback,minDrop,TP,SL,train_score,train_return_pct,train_win_rate,train_max_dd,train_trades,test_return_pct,test_win_rate,test_max_dd,test_trades,test_signals,opt_time_secs
67,2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10,2024-11,19,8.05,3,14.65,0.463477484360534,107.139041807164,100,-13.6377200835571,21,0,0,0,0,0,29.6844439506531
68,2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11,2024-12,20,3.05,2.65,6,0.516564442361819,125.606342902476,74.2990654205608,-39.5571116867385,214,29.7500053333598,74.5762711864407,-22.6719635202024,59,991,36.118166923523
69,2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12,2025-01,19,6.5,1.05,23,0.529461007884902,154.973752163031,98.7804878048781,-24.6493938234921,82,5.9736945443749,100,-13.2736787698669,4,27,37.2528760433197
70,2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01,2025-02,16,2.3,3,22.45,0.742659330004026,453.839601629114,92.9292929292929,-46.0393399024137,99,-37.1244899140442,62.5,-42.5311084563397,8,1262,44.1732571125031
71,2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02,2025-03,5,3.25,0.3,14.4,0.558032342873891,104.105751499389,97.3293768545994,-28.1091739676196,337,-14.7075852947669,92.1052631578947,-30.5931455253701,38,135,37.3192729949951
72,2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03,2025-04,18,6.45,0.1,16.15,0.540545367341123,115.978567798549,99.3197278911565,-22.2858412415321,147,-10.9679354929455,92.3076923076923,-16.5250342349143,13,29,37.9143631458282
73,2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04,2025-05,6,4.6,0.45,20.2,0.632949707702667,214.052919312458,99.2125984251969,-17.2841521135956,127,5.23808481664237,100,-3.69553794250857,10,25,38.4284808635712
74,2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05,2025-06,9,2,3,21.8,0.53508802392336,230.108630025073,90.8333333333333,-51.9968247904608,120,0.309652510755004,66.6666666666667,-18.1316093676414,3,1187,39.5941579341888
75,2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06,2025-07,17,3,1.25,19.1,0.597944105931218,218.275546033381,94.4915254237288,-46.6896576781825,236,18.7709813105637,95.2380952380952,-16.8478711926301,21,800,44.745836019516
76,2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07,2025-08,5,4.3,0.45,20.55,0.61082348133542,194.453678248482,98.5815602836879,-21.2251586914021,141,-5.65183935063342,85.7142857142857,-11.3046546691047,7,36,42.7235169410706
77,2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08,2025-09,10,2.9,1.2,17.2,0.657721562216078,254.674115428159,94.9612403100775,-39.6552539414346,258,-0.393458886407279,90,-15.0476430076417,10,564,44.4391670227051
78,2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09,2025-10,11,2.85,1.2,17.2,0.671553855833218,262.503448465276,94.8905109489051,-37.3815010866609,274,-3.74123672275155,92.3076923076923,-30.4690560830054,13,577,44.8133509159088
